"SecondDegreeConnection","NumberOfCollaborations"
"Matei Zaharia",49
"Antonio Torralba",48
"Yuke Zhu",46
"Silvio Savarese",46
"Chuang Gan",45
"Aaron Courville",44
"Luke Zettlemoyer",41
"Yejin Choi",41
"Devi Parikh",40
"Yusuke Iwasawa",39
"Jiayuan Mao",37
"Dawn Song",35
"Hannaneh Hajishirzi",34
"Nicolas Heess",31
"Jakob Foerster",29
