"Author","NumberOfPublications"
"Sergey Levine",217
"Pieter Abbeel",190
"Yang Liu",172
"Mohit Bansal",145
"Joshua B. Tenenbaum",141
"Philip S. Yu",137
"Yoshua Bengio",134
"Jun Wang",126
"Chelsea Finn",116
"Wei Wang",105
"Jianfeng Gao",104
"Bo Li",99
"Jie Zhou",95
"Hao Wang",95
"Julian Togelius",92
