"SecondDegreeConnection","NumberOfCollaborations"
"Xi Chen",1062
"Kimin Lee",794
"Sherry Yang",720
"Rohin Shah",716
"Lerrel Pinto",705
"Yuqing Du",649
"Michael Laskin",625
"Christopher D. Manning",620
"Rohan Anil",579
"Hao Liu",571
"Ehsan Amid",558
"Yuejiang Liu",548
"Abhinav Gupta",542
"Stephen James",531
"Yan Duan",512
